date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:12:40	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202019%2017:12:48%20GMT	https://web2.uvcs.uvic.ca/robots.txt		(from )
00:12:40	16771/16771	---M-Z	200	added ('OK')	text/html	etag:%228079583c2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/index.html	(from )
00:12:41	20498/20498	---M-Z	200	added ('OK')	text/css	etag:%228095a64a2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/css/sz-simple.css	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/css/sz-simple.css	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:42	2220/2220	---M-Z	200	added ('OK')	text/css	etag:%22e684e2d9cb7bd11:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/css/sz-print.css	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/css/sz-print.css	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:43	2917/2917	---M-Z	200	added ('OK')	application/javascript	etag:%2202c3f4b2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/js/listmenu.js	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/js/listmenu.js	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:45	43/43	---M--	200	added ('OK')	image/gif	etag:%2243fabe852944cd1:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/images/logo-uvic.gif	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/images/logo-uvic.gif	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:46	2660/2660	---M--	200	added ('OK')	image/gif	etag:%223af283a62a0cd1:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/images/logo-elc.gif	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/images/logo-elc.gif	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:47	2763/2763	---M--	200	added ('OK')	image/gif	etag:%2280989927ea2fc91:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/images/wb-gram.gif	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/images/wb-gram.gif	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:48	8467/8467	---M-Z	200	added ('OK')	text/html	etag:%22a942763e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:50	62996/62996	---M-Z	200	added ('OK')	text/html	etag:%22fc997b3e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom1.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom1.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:51	37924/37924	---M-Z	200	added ('OK')	text/html	etag:%22938d813e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom2.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom2.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:53	36082/36082	---M-Z	200	added ('OK')	text/html	etag:%22f7b873e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom3.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom3.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:54	36226/36226	---M-Z	200	added ('OK')	text/html	etag:%22393c8c3e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom4.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom4.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:56	35959/35959	---M-Z	200	added ('OK')	text/html	etag:%226a45913e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom5.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom5.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:57	36368/36368	---M-Z	200	added ('OK')	text/html	etag:%22ac75963e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom6.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/regcom6.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:12:59	6385/6385	---M-Z	200	added ('OK')	text/html	etag:%227f11133e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/poss.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/poss.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:13:00	61515/61515	---M-Z	200	added ('OK')	text/html	etag:%22e38f183e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/poss1.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/poss1.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:13:02	38167/38167	---M-Z	200	added ('OK')	text/html	etag:%22adf81e3e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/poss2.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/poss2.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:13:03	60431/60431	---M-Z	200	added ('OK')	text/html	etag:%228888253e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/poss3.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/poss3.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:13:04	6900/6900	---M-Z	200	added ('OK')	text/html	etag:%2225e26b3e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/reflex.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/reflex.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:13:06	60600/60600	---M-Z	200	added ('OK')	text/html	etag:%226712713e2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/reflex1.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/reflex1.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:13:07	6701/6701	---M-Z	200	added ('OK')	text/html	etag:%22d9dacf3c2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/impers.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/impers.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:13:09	58384/58384	---M-Z	200	added ('OK')	text/html	etag:%22b520d43c2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/impers1.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/impers1.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:13:10	38926/38926	---M-Z	200	added ('OK')	text/html	etag:%222ac6d93c2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/impers2.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/impers2.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:13:11	11647/11647	---M-Z	200	added ('OK')	text/html	etag:%22939f5e3c2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/advman.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/advman.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:13:13	59979/59979	---M-Z	200	added ('OK')	text/html	etag:%22d5cf633c2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/advman1.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/advman1.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
00:13:14	39627/39627	---M-Z	200	added ('OK')	text/html	etag:%224a75693c2a80d41:0%22	https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/advman2.htm	C:/Users/BKKSKADA/Documents/EnglishGrammar/web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/advman2.html	(from https://web2.uvcs.uvic.ca/courses/elc/studyzone/330/grammar/)
